Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8,Band_9,Class,Class_Value,Longitude,Latitude
0.156,0.1821,0.19649999,0.21544999,0.3295,0.3576,0.04600073,-0.28811568,0.20928526,Bareland,3,90.45790723973921,23.786427032022225
0.2042,0.23339999,0.24949999,0.27535,0.38845,0.42049998,0.04925219,-0.24933666,0.17038263,Bareland,3,90.4628565935185,23.786559880152243
0.1766,0.2118,0.2276,0.2555,0.37995,0.4113,0.05775201,-0.28415716,0.19584545,Bareland,3,90.46151304176315,23.787883698689022
0.1577,0.1889,0.2052,0.25055,0.34965,0.36769998,0.09950631,-0.29848668,0.16511162,Bareland,3,90.44612102251992,23.81117114077536
0.11229999,0.1388,0.153,0.21939999,0.3225,0.3066,0.17830288,-0.39822242,0.19025652,Bareland,3,90.44399530121025,23.768150114791748
0.1506,0.1809,0.2021,0.23869999,0.35545,0.3786,0.08303084,-0.3254405,0.19649923,Bareland,3,90.44206662892599,23.76940158788675
0.074549995,0.0981,0.0817,0.2109,0.18034999,0.12715,0.44155848,-0.29538515,-0.078083076,Bareland,3,90.44220016285043,23.773124185090317
0.17029999,0.1995,0.2121,0.2456,0.33475,0.37364998,0.073192045,-0.25315863,0.1536142,Bareland,3,90.44430557391522,23.77352634783774
0.1988,0.2312,0.24929999,0.27695,0.40265,0.43414998,0.05254159,-0.27048987,0.18496174,Bareland,3,90.46787602471646,23.80420202923216
0.19119999,0.2162,0.23179999,0.2635,0.36714998,0.3974,0.06400165,-0.25876403,0.1643542,Bareland,3,90.37582758032437,23.84407843839763
0.1856,0.2131,0.2242,0.2636,0.33545,0.36115,0.0807708,-0.22304255,0.11993991,Bareland,3,90.37788820069531,23.84815251210695
0.16679999,0.18769999,0.19739999,0.23185,0.31945,0.34405,0.08025628,-0.2597851,0.15889715,Bareland,3,90.37740817480945,23.848619990163314
0.15359999,0.1838,0.20089999,0.24814999,0.33894998,0.34329998,0.10522214,-0.2967958,0.15465848,Bareland,3,90.37589047480039,23.847773084646985
0.16569999,0.1982,0.20629999,0.2531,0.3575,0.36505,0.10187204,-0.28666544,0.17097934,Bareland,3,90.37301979534837,23.851369288028277
0.1742,0.2017,0.2156,0.2556,0.36519998,0.39685,0.08488966,-0.2884106,0.17654635,Bareland,3,90.37127653089891,23.854596397062135
0.1372,0.1589,0.1672,0.19434999,0.27934998,0.28735,0.07509333,-0.27484313,0.17943846,Bareland,3,90.37454590521597,23.854074530951443
