Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8,Band_9,Class,Class_Value,Longitude,Latitude
0.09285,0.10085,0.09895,0.11045,0.1718,0.1691,0.054918822,-0.26022375,0.21736051,Builtup,2,90.34938216227798,23.76976060262638
0.106599994,0.119799994,0.12979999,0.15959999,0.17559999,0.16675,0.102971666,-0.1888964,0.047732707,Builtup,2,90.36785131340451,23.805170261814965
0.05755,0.058799997,0.052849997,0.04815,0.0534,0.0418,-0.04653463,0.04812833,0.051698666,Builtup,2,90.39441677275858,23.749574746264866
0.0727,0.081199996,0.085,0.10285,0.13804999,0.1311,0.095022604,-0.25929302,0.1461187,Builtup,2,90.36537771822606,23.768220194916324
0.1583,0.1855,0.1936,0.23279999,0.21959999,0.19845,0.09193244,-0.08417674,-0.029177722,Builtup,2,90.37106899919937,23.76918785715903
0.08345,0.08855,0.098699994,0.1308,0.20359999,0.20304999,0.13986929,-0.39380452,0.21770334,Builtup,2,90.3695351677738,23.770559841607618
0.1182,0.1381,0.2112,0.2357,0.2224,0.20125,0.054822102,-0.2338419,-0.029032966,Builtup,2,90.37205617848502,23.770616121246782
0.088,0.0991,0.1503,0.17755,0.1862,0.1749,0.083117306,-0.30529267,0.023780042,Builtup,2,90.3761526665204,23.77145492379125
0.1047,0.1284,0.125,0.16669999,0.16555,0.15955,0.14295505,-0.12638202,-0.0034612403,Builtup,2,90.36315478768859,23.820201801433083
0.0872,0.098749995,0.1003,0.14755,0.137,0.12619999,0.19063951,-0.16224815,-0.03707611,Builtup,2,90.3650310562117,23.790939636703474
0.2084,0.23809999,0.2732,0.2875,0.3028,0.31794998,0.025503814,-0.11961547,0.025919035,Builtup,2,90.38569689550387,23.76375481424866
0.1048,0.118999995,0.1213,0.1573,0.15335,0.123399995,0.12921752,-0.12612449,-0.0127152745,Builtup,2,90.38239688658196,23.757526139920316
0.1108,0.1188,0.124199994,0.1496,0.14545,0.1319,0.09276847,-0.10085146,-0.014065424,Builtup,2,90.38167102539278,23.752109924058498
0.1069,0.1231,0.1574,0.1999,0.3172,0.3263,0.11894768,-0.44083583,0.22684202,Builtup,2,90.37865756809876,23.760810170446817
0.10065,0.1157,0.1235,0.14815,0.13544999,0.120249994,0.09074177,-0.07863823,-0.04478141,Builtup,2,90.35256046529575,23.760821308638498
