Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8,Band_9,Class,Class_Value,Longitude,Latitude
0.10015,0.1236,0.1382,0.18834999,0.109299995,0.07865,0.15357523,0.061399758,-0.2655804,Tree,1,90.37756958405284,23.77100502197345
0.053949997,0.067549996,0.050049998,0.22369999,0.1663,0.0841,0.63433796,-0.42227924,-0.14717947,Tree,1,90.38093812110603,23.767229594520202
0.05185,0.05935,0.04845,0.18265,0.09985,0.054199997,0.58070105,-0.25439698,-0.29309735,Tree,1,90.38312288957007,23.75920788259913
0.058849998,0.07135,0.055999998,0.21714999,0.12969999,0.07115,0.58996886,-0.29022628,-0.25212628,Tree,1,90.38307530446254,23.756510356043485
0.047149997,0.05785,0.043449998,0.1866,0.14145,0.0756,0.62225604,-0.41946813,-0.13763145,Tree,1,90.37724478412889,23.74463215563331
0.0646,0.08705,0.06075,0.35685,0.17979999,0.08935,0.70905167,-0.34757352,-0.3299171,Tree,1,90.3791112406035,23.733846229434644
0.06845,0.08215,0.08605,0.14035,0.1741,0.1488,0.23984101,-0.35882926,0.107330255,Tree,1,90.35833190371117,23.750007108173605
0.05405,0.0611,0.04865,0.15124999,0.10075,0.059,0.5132566,-0.24497992,-0.2003968,Tree,1,90.39066511874096,23.767457918964716
0.0546,0.0669,0.05295,0.20009999,0.120349996,0.0634,0.5815056,-0.28544727,-0.24886878,Tree,1,90.36657001163339,23.76548294654771
0.052449998,0.0628,0.054649998,0.1819,0.14854999,0.08395,0.5379413,-0.40572506,-0.100923,Tree,1,90.36183652716824,23.80476062374303
0.05085,0.05735,0.049799997,0.13535,0.095649995,0.053999998,0.46205786,-0.25032678,-0.1718615,Tree,1,90.41962973785986,23.72471055333498
0.05915,0.0668,0.05765,0.1319,0.1012,0.06115,0.39171723,-0.20476191,-0.13170312,Tree,1,90.42597440739111,23.730593522804334
0.070199996,0.0802,0.06725,0.20515,0.13014999,0.072749995,0.50624084,-0.23746133,-0.22368032,Tree,1,90.39622034045856,23.718604816053666
0.04975,0.06435,0.0462,0.2126,0.1361,0.069299996,0.64296746,-0.35794458,-0.2193863,Tree,1,90.40329366979064,23.735725554594346
0.07285,0.09495,0.0722,0.3678,0.20414999,0.1485,0.6718182,-0.3650953,-0.28612643,Tree,1,90.36115857628147,23.77087656323342
